,사업장명,위도,경도
84,호텔리베라서울,37.52389374086156,127.05412389343165
85,호텔 컬리넌 건대,37.55055634289165,127.06905376739903
86,호텔쿠레타케소,37.572369948404194,126.98717933832798
87,보보호텔,37.55231896075016,126.91820229494938
88,호텔 썬비,37.57305328476454,126.98479127076513
89,서울앤호텔 동대문,37.573328765956816,127.02083191923454
90,Hostel Tommy 호스텔 토미,37.57442447245206,126.99120448617634
91,ICON,37.57484900216465,126.9889167773412
92,호스텔 하루,37.56897849444251,126.98432081482518
93,그랜드인터컨티넨탈 서울 파르나스,37.509047800864835,127.06089284405361
94,오라카이 인사동 스위츠,37.57300709341424,126.98733409487572
95,호텔 아트리움,37.57188479264046,126.99812420760577
96,동대문 서울달빛,37.57191251693539,127.01453701429983
97,(주)조선호텔앤리조트 조선팰리스강남,37.503211663944036,127.04149158215341
98,아름호스텔,37.575026061199786,126.98216485777735
99,셀립,37.577025002028414,126.99124034011908
100,24guesthouse동대문마켓점,37.57065078648013,127.01021840193717
101,호스텔 데이,37.58204481391954,126.9979237321035
102,호스텔 클로이,37.56872424101858,126.98861393600971
103,호텔 다다-인사,37.57464871630849,126.98953986748586
104,디어스명동,37.56082006747136,126.99129337576379
105,탕파스 호스텔,37.56173947060905,126.98989888625674
106,주식회사 에스알호텔,37.47715174604895,126.98040921471109
107,티제이 관광호텔,37.54794445577574,126.82006219581974
108,24게스트하우스 남산점,37.55862788210302,126.98476664724446
109,로얄스퀘어호텔,37.56064475614758,126.81031807315847
110,96번지,37.564816611287995,127.00975306134356
111,나인트리 호텔 동대문,37.56661317778271,127.00290760004481
112,ENA 스위트 호텔,37.562302475774295,126.97389896260339
113,라마다서울동대문호텔(정광개발주식회사),37.565975798247095,127.00261240448484
114,이지갤러리관광호텔,37.553281571501614,126.85050955009471
115,알로프트서울명동호텔,37.56227444106303,126.98192416493625
116,24게스트하우스 서울시청점,37.56470591744684,126.97632272919911
117,호텔스카이파크명동Ⅱ,37.56492040254472,126.98505103094098
118,2U호스텔,37.568617318616305,126.99818871891904
119,24게스트하우스 명동타운점,37.55936020738359,126.97889751800662
120,루미아 호텔,37.558021624055726,126.97976978289968
121,호텔 PJ,37.564811620173245,126.99570023865577
122,(주)조선호텔앤리조트 레스케이프,37.55962178328457,126.97936667672937
123,나인트리 프리미어호텔 명동2,37.56434615996577,126.99092436223903
124,노보텔 앰배서더 서울 동대문 레지던스,37.56626995484339,127.0043493425844
125,디에스디엘(주) 프레이저 플레이스 센트럴 서울,37.5626127261004,126.96987627887196
126,소테츠호텔즈 더 스프라지르 서울 명동,37.5621587118835,126.97890973758084
127,프레지던트호텔,37.56563032110018,126.97943354799351
128,(주)씨디엘호텔코리아(밀레니엄 힐튼 서울),37.5553067019566,126.97546573066356
129,반얀트리 클럽 앤 스파 서울,37.55055381466732,127.00297475986424
130,에이큐브 호텔,37.566224825622925,127.00203676285255
131,더 리센츠,37.562275044264084,127.06165118634338
132,(주)서부티엔디 이비스 스타일 앰버서더 서울 용산,37.53192027796235,126.9624423354954
133,하센영인호텔,37.55653185641939,126.99320289165395
134,로얄호텔서울,37.564315031651674,126.9856444725507
135,호텔롯데,37.56480980267952,126.9810895166794
